,ID,Year,Month,Data Type,Value1,Mflag1,Qflag1,Sflag1,Value2,Mflag2,Qflag2,Sflag2,Value3,Mflag3,Qflag3,Sflag3,Value4,Mflag4,Qflag4,Sflag4,Value5,Mflag5,Qflag5,Sflag5,Value6,Mflag6,Qflag6,Sflag6,Value7,Mflag7,Qflag7,Sflag7,Value8,Mflag8,Qflag8,Sflag8,Value9,Mflag9,Qflag9,Sflag9,Value10,Mflag10,Qflag10,Sflag10,Value11,Mflag11,Qflag11,Sflag11,Value12,Mflag12,Qflag12,Sflag12,Value13,Mflag13,Qflag13,Sflag13,Value14,Mflag14,Qflag14,Sflag14,Value15,Mflag15,Qflag15,Sflag15,Value16,Mflag16,Qflag16,Sflag16,Value17,Mflag17,Qflag17,Sflag17,Value18,Mflag18,Qflag18,Sflag18,Value19,Mflag19,Qflag19,Sflag19,Value20,Mflag20,Qflag20,Sflag20,Value21,Mflag21,Qflag21,Sflag21,Value22,Mflag22,Qflag22,Sflag22,Value23,Mflag23,Qflag23,Sflag23,Value24,Mflag24,Qflag24,Sflag24,Value25,Mflag25,Qflag25,Sflag25,Value26,Mflag26,Qflag26,Sflag26,Value27,Mflag27,Qflag27,Sflag27,Value28,Mflag28,Qflag28,Sflag28,Value29,Mflag29,Qflag29,Sflag29,Value30,Mflag30,Qflag30,Sflag30,Value31,Mflag31,Qflag31,Sflag31
7,USC00187705,1908,1,TMAX,56, , ,6,89, , ,6,44, , ,6,28, , ,6,33, , ,6,50, , ,6,22, , ,6,56, , ,6,44, , ,6,11, , ,6,56, , ,6,139, , ,6,78, , ,6,39, , ,6,56, , ,6,67, , ,6,28, , ,6,33, , ,6,94, , ,6,111, , ,6,144, , ,6,50, ,I,6,133, , ,6,-11, ,I,6,61, , ,6,39, , ,6,83, , ,6,39, , ,6,28, , ,6,-28, , ,6,-39, , ,6
8,USC00187705,1908,1,TMIN,-28, , ,6,11, , ,6,-17, , ,6,-28, , ,6,-17, , ,6,-67, , ,6,-28, , ,6,-17, , ,6,-50, , ,6,-94, , ,6,-50, , ,6,44, , ,6,22, , ,6,-17, , ,6,-50, , ,6,0, , ,6,-67, , ,6,-33, , ,6,-22, , ,6,-28, , ,6,11, , ,6,-11, , ,6,50, ,I,6,-83, , ,6,-72, , ,6,-33, , ,6,-22, , ,6,-61, , ,6,-28, , ,6,-122, , ,6,-133, , ,6
9,USC00187705,1908,1,TOBS,22, , ,6,33, , ,6,-6, , ,6,28, , ,6,-17, , ,6,0, , ,6,6, , ,6,39, , ,6,-44, , ,6,-28, , ,6,44, , ,6,78, , ,6,39, , ,6,-11, , ,6,17, , ,6,22, , ,6,-11, , ,6,11, , ,6,56, , ,6,61, , ,6,78, ,I,6,-11, , ,6,50, , ,6,-39, , ,6,17, , ,6,39, , ,6,-17, , ,6,22, , ,6,-28, , ,6,-72, , ,6,-72, , ,6
10,USC00187705,1908,1,PRCP,0, , ,6,0, , ,6,0, , ,6,20, , ,6,0, , ,6,0, , ,6,404, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,386, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,20, , ,6,0, , ,6,13, , ,6,0, , ,6,0, , ,6,104, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6
11,USC00187705,1908,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,13, , ,6,0, , ,6,13, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6
12,USC00187705,1908,1,SNWD,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,25, , ,6,25, , ,6,25, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6
81,USC00187705,1909,1,TMAX,22, , ,6,39, , ,6,78, , ,6,122, , ,6,128, , ,6,128, , ,6,28, , ,6,-33, , ,6,11, , ,6,33, , ,6,133, , ,6,100, , ,6,11, , ,6,0, , ,6,39, , ,6,28, , ,6,11, , ,6,22, , ,6,6, , ,6,72, , ,6,61, , ,6,100, , ,6,100, , ,6,139, , ,6,156, , ,6,122, , ,6,117, , ,6,83, , ,6,17, , ,6,17, , ,6,-6, , ,6
82,USC00187705,1909,1,TMIN,-50, , ,6,-72, , ,6,-22, , ,6,17, , ,6,72, , ,6,22, , ,6,-78, , ,6,-94, , ,6,-50, , ,6,-6, , ,6,11, , ,6,6, , ,6,-67, , ,6,-39, , ,6,-6, , ,6,-67, , ,6,-78, , ,6,-33, , ,6,-128, , ,6,-39, , ,6,-22, , ,6,-28, , ,6,22, , ,6,72, , ,6,78, , ,6,33, , ,6,-28, , ,6,-22, , ,6,-17, , ,6,-67, , ,6,-67, , ,6
83,USC00187705,1909,1,TOBS,-22, , ,6,6, , ,6,61, , ,6,83, , ,6,128, , ,6,22, , ,6,-78, , ,6,-44, , ,6,0, , ,6,28, , ,6,100, , ,6,6, , ,6,-33, , ,6,0, , ,6,28, , ,6,-67, , ,6,6, , ,6,-28, , ,6,-17, , ,6,28, , ,6,33, , ,6,61, , ,6,89, , ,6,128, , ,6,122, , ,6,39, , ,6,78, , ,6,11, , ,6,11, , ,6,-67, , ,6,-39, , ,6
84,USC00187705,1909,1,PRCP,0, , ,6,0, , ,6,0, , ,6,0, , ,6,-9999, , , ,0, , ,6,-9999, , , ,-9999, , , ,0, , ,6,0, , ,6,0, , ,6,5, , ,6,-9999, , , ,-9999, , , ,183, , ,6,81, , ,6,211, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,5, , ,6,10, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,71, , ,6,0,T, ,6,0, , ,6
